"Tytul","Cena","Metraz","Dzielnica","Cena_m2"
"2pok mieszkanie na os. Wysokim do wejścia! 579 000...",579000,44.54,Bieńczyce,12999.55
"Nowe wykończone, wysoki standard. Bronowice, Krakó...",888000,48.35,Bronowice,18366.08
Bezpośrednio od Właściciela os. 2 Pułku Lot./ AVIA...,630000,40.0,Czyżyny,15750.0
Bezpośrednio: Nowoczesna kawalerka z wyspą | ul. P...,549000,30.95,Podgórze,17738.29
Mieszkanie Salwator City 40 m2 Bronowice 677 000 z...,677000,40.0,Bronowice,16925.0
"2 pokoje 49 m2 + 2 balkony 23m2 + garaż Bronowice ...",745000,49.0,Bronowice,15204.08
Mikrokawalerka pod wynajem! Roi 10%! Bez Prowizji!...,189000,14.69,Podgórze Duchackie,12865.9
Stare Miasto klimatyczne mieszkanie z widokiem na ...,899000,46.0,Stare Miasto,19543.48
Syndyk sprzeda mieszkanie w Krakowie z garażem i k...,621720,61.0,Podgórze,10192.13
"3 Pokoje przy bulwarach Wiślanych | Balkon | Widok...",699000,54.0,Grzegórzki,12944.44
"Gotowe do wejścia | Rzadkość na rynku | 78,8 m² 1 ...",1069000,78.8,Dębniki,13565.99
"Kawalerka idealna na wynajem 253 000 zł Kraków, Kr...",253000,16.87,Krowodrza,14997.04
